Theta	Demes	TotalKappa	migration	mutation	frequency	growth	s	r	z	RatioCapacities	RatioMigration	replicates	Rescue	Error
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.10000	0.50000	2000.00000	0.07750	0.01537
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.10000	0.90000	2000.00000	0.08800	0.01628
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.50000	0.10000	2000.00000	0.05600	0.01321
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.05750	0.01338
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.50000	0.90000	2000.00000	0.06400	0.01407
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.90000	0.10000	2000.00000	0.04550	0.01198
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.90000	0.50000	2000.00000	0.05200	0.01276
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.90000	0.90000	2000.00000	0.03900	0.01113
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.10000	0.10000	2000.00000	0.35450	0.02749
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.10000	0.50000	2000.00000	0.38350	0.02794
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.10000	0.90000	2000.00000	0.36800	0.02771
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.50000	0.10000	2000.00000	0.37250	0.02778
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.50000	0.50000	2000.00000	0.37500	0.02782
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.50000	0.90000	2000.00000	0.37450	0.02781
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.90000	0.10000	2000.00000	0.38350	0.02794
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.90000	0.50000	2000.00000	0.38350	0.02794
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.90000	0.90000	2000.00000	0.38150	0.02791
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.10000	0.10000	2000.00000	0.31450	0.02668
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.10000	0.50000	2000.00000	0.30750	0.02652
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.10000	0.90000	2000.00000	0.29000	0.02608
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.50000	0.10000	2000.00000	0.30850	0.02654
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.31600	0.02672
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.50000	0.90000	2000.00000	0.30000	0.02633
